analysis,model_or_variant,metric,slice_type,slice_value,planned_repeats,successful_repeats,unique_dates,positive_events,portfolio_count,estimate,ci_low,ci_high,p_value,confidence_level,bootstrap_replicates,randomization_replicates,block_length,block_count,repeat_count,status,failure_reason,holm_adjusted_p_value,bh_adjusted_p_value
warning,historical_tail_threshold,brier_score,market,cn,1,1,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,recall_at_frozen_threshold,market,cn,1,1,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,average_precision,market,jp,1,1,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,brier_score,market,jp,1,1,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,recall_at_frozen_threshold,market,jp,1,1,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,average_precision,market,tw,1,1,53,16,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,brier_score,market,tw,1,1,53,16,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,recall_at_frozen_threshold,market,tw,1,1,53,16,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,average_precision,period,early,1,1,27,32,10,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 40 unique dates,,
warning,historical_tail_threshold,brier_score,period,early,1,1,27,32,10,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 40 unique dates,,
